an,Count
2005,84995
2006,80719
2007,81672
2008,74876
2009,72637
2010,67598
2011,65369
2012,60719
2013,57083
2014,58412
2015,56818
2016,57725
2017,58853
2018,56027
2019,56631
2020,45506
2021,54081
2022,52988
2023,52273
