an,Count
2005,5378
2006,4762
2007,4687
2008,4323
2009,4319
2010,4033
2011,4010
2012,3691
2013,3308
2014,3414
2015,3489
2016,3509
2017,3487
2018,3279
2019,3273
2020,2558
2021,2973
2022,3305
2023,3198
